tweet_id,text,tweet_created_dt,retweets,favorites,tweet_text,lemma_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score,esn_sentiment,esn_sentiment_count
1266406819272044546,Holy shit. This coming from the woman who refused to hold a *single* officer accountable during her tenure as DA...including the officer that went on to murder George Floyd. ,2020-05-29 16:31:29,1673,7855,"['holy', 'shit', 'this', 'coming', 'from', 'the', 'woman', 'who', 'refused', 'to', 'hold', 'a', 'single', 'officer', 'accountable', 'during', 'her', 'tenure', 'as', 'da', 'including', 'the', 'officer', 'that', 'went', 'on', 'to', 'murder', 'george', 'floyd']","['holy', 'shit', 'this', 'come', 'from', ""the'"", 'woman', ""who'"", 'refuse', ""to'"", 'hold', ""a'"", 'single', 'officer', 'accountable', 'during', 'she', 'tenure', 'as', ""da'"", 'include', ""the'"", 'officer', 'that', 'go', 'on', ""to'"", 'murder', 'george', 'floyd']",disgust,2.0,1.659,angry,20.0,2.9960406777649595,joy,9.0
1266037940121149447,"I’m physically feeling sick when I realize in what a cruel world we live in. George Floyd didn’t do a single thing wrong and they just took his life away like it’s nothing. How are you able to do something so evil to a human, it just doesn’t come to my mind...",2020-05-28 16:05:41,130,2096,"['i', 'am', 'physically', 'feeling', 'sick', 'when', 'i', 'realize', 'in', 'what', 'a', 'cruel', 'world', 'we', 'live', 'in', 'george', 'floyd', 'did', 'not', 'do', 'a', 'single', 'thing', 'wrong', 'and', 'they', 'just', 'took', 'his', 'life', 'away', 'like', 'it', 'is', 'nothing', 'how', 'are', 'you', 'able', 'to', 'do', 'something', 'so', 'evil', 'to', 'a', 'human', 'it', 'just', 'does', 'not', 'come', 'to', 'my', 'mind']","[""'i"", 'be', 'physically', 'feel', 'sick', 'when', ""i'"", 'realize', 'in', 'what', ""a'"", 'cruel', 'world', ""we'"", 'live', 'in', 'george', 'floyd', 'do', 'not', ""do'"", 'a', 'single', 'thing', 'wrong', 'and', 'they', 'just', 'take', 'he', 'life', 'away', 'like', 'it', 'be', 'nothing', 'how', 'be', 'you', 'able', ""to'"", ""do'"", 'something', ""so'"", 'evil', ""to'"", ""a'"", 'human', 'it', 'just', 'do', 'not', 'come', ""to'"", 'my', 'mind']",disgust,5.0,2.329,inspired,25.0,4.913988826033036,joy,15.0
1268021325953732608,"tonight’s peaceful protest was being protested by idiots like this lady. Long Island twitter, do your thing & let’s find this lady. telling people to “get over it” in response to George Floyd’s death is DISGUSTING. ",2020-06-03 03:26:57,66,161,"['tonight', 'is', 'peaceful', 'protest', 'was', 'being', 'protested', 'by', 'idiots', 'like', 'this', 'lady', 'long', 'island', 'twitter', 'do', 'your', 'thing', '&', 'let', 'is', 'find', 'this', 'lady', 'telling', 'people', 'to', 'get', 'over', 'it', 'in', 'response', 'to', 'george', 'floyd', 'is', 'death', 'is', 'disgusting']","['tonight', 'be', 'peaceful', 'protest', 'be', 'be', 'protest', 'by', 'idiot', 'like', 'this', 'lady', 'long', 'island', 'twitter', ""do'"", 'you', 'thing', '&', 'let', 'be', 'find', 'this', 'lady', 'tell', 'people', ""to'"", 'get', 'over', 'it', 'in', 'response', ""to'"", 'george', 'floyd', 'be', 'death', 'be', 'disgusting']",disgust,3.0,1.851,amused,23.0,4.0161325799479135,joy,11.0
1269084266023079943,"Trump is jealous of George Floyd.... After he says Floyd is looking down at this great day, he says "" The fact that George Floyd had been held up as a martyr sickens me."" What a horrifying , little man!",2020-06-06 01:50:42,51,385,"['trump', 'is', 'jealous', 'of', 'george', 'floyd', 'after', 'he', 'says', 'floyd', 'is', 'looking', 'down', 'at', 'this', 'great', 'day', 'he', 'says', 'the', 'fact', 'that', 'george', 'floyd', 'had', 'been', 'held', 'up', 'as', 'a', 'martyr', 'sickens', 'me', 'what', 'a', 'horrifying', 'little', 'man']","['trump', 'be', 'jealous', 'of', 'george', 'floyd', 'after', 'he', 'say', 'floyd', 'be', 'look', 'dow', 'and', 'at', 'this', 'great', 'day', 'he', 'say', ""tha'"", 'fact', 'that', 'george', 'floyd', 'have', 'be', 'hold', 'up', 'as', 'a', 'martyr', 'sicken', 'i', 'what', ""a'"", 'horrifying', 'little', 'man']",disgust,3.0,1.914,inspired,19.0,3.1128628056159062,joy,8.0
1267497306607300614,Derek Chauvin arrested. MN Attorney General Keith Ellison is taking over the George Floyd murder case FBI opens an investigation into the death of Breonna Taylor. Shit got flipped on its head and I’m supposed to believe it would have happened if everyone just chilled?,2020-06-01 16:44:41,49,48,"['derek', 'chauvin', 'arrested', 'mn', 'attorney', 'general', 'keith', 'ellison', 'is', 'taking', 'over', 'the', 'george', 'floyd', 'murder', 'case', 'fbi', 'opens', 'an', 'investigation', 'into', 'the', 'death', 'of', 'breonna', 'taylor', 'shit', 'got', 'flipped', 'on', 'its', 'head', 'and', 'i', 'am', 'supposed', 'to', 'believe', 'it', 'would', 'have', 'happened', 'if', 'everyone', 'just', 'chilled']","['derek', 'chauvin', 'arrest', 'mn', 'attorney', 'general', 'keith', 'ellison', 'be', 'take', 'over', ""the'"", 'george', 'floyd', 'murder', 'case', 'fbi', 'open', 'a', 'investigation', 'into', ""the'"", 'death', 'of', 'breonna', 'taylor', 'shit', 'get', 'flip', 'on', 'its', 'head', 'and', 'i', 'be', 'suppose', ""to'"", 'believe', 'it', 'would', 'have', 'happen', 'if', 'everyone', 'just', 'chill']",disgust,3.0,2.315,dontcare,35.0,5.185303578280365,joy,14.0
1267413598986477573,You looters are disgusting losers. What a waste of life. Sad disgraceful generation who the F would be part of such a thing. LOSERS you people hv zero values or morals. This has NOTHING to do w #GeorgeFloyd just a bunch of punks. Gross #Anonymous,2020-06-01 11:12:04,38,72,"['you', 'looters', 'are', 'disgusting', 'losers', 'what', 'a', 'waste', 'of', 'life', 'sad', 'disgraceful', 'generation', 'who', 'the', 'f', 'would', 'be', 'part', 'of', 'such', 'a', 'thing', 'losers', 'you', 'people', 'hv', 'zero', 'values', 'or', 'morals', 'this', 'has', 'nothing', 'to', 'do', 'w', 'george', 'floyd', 'just', 'a', 'bunch', 'of', 'punks', 'gross', 'anonymous']","['you', 'looter', 'be', 'disgusting', 'loser', 'what', ""a'"", 'waste', 'of', 'life', 'sad', 'disgraceful', 'generation', ""who'"", 'the', 'f', 'would', ""be'"", 'part', 'of', 'such', 'a', 'thing', 'loser', 'you', 'people', ""hv'"", 'zero', 'value', 'or', 'moral', 'this', 'have', 'nothing', ""to'"", ""do'"", ""w'"", 'george', 'floyd', 'just', 'a', 'bunch', 'of', 'punk', 'gross', 'anonymous']",disgust,5.0,2.9369999999999994,inspired,27.0,4.509542218564056,joy,8.0
1266502350673530888,"@realDonaldTrump the hatred you spew infects the weak-of-mind. On 11.03 we will administers the vaccine when we crush you, legally and peacefully. #BlackLivesMatter #VoteBlueToSaveAmerica2020",2020-05-29 22:51:05,33,56,"['the', 'hatred', 'you', 'spew', 'infects', 'the', 'weak', 'of', 'mind', 'on', '11.03', 'we', 'will', 'administers', 'the', 'vaccine', 'when', 'we', 'crush', 'you', 'legally', 'and', 'peacefully', 'black', 'lives', 'matter', 'vote', 'blue', 'to', 'save', 'america2020']","[""the'"", 'hatred', 'you', 'spew', 'infect', ""the'"", 'weak', 'of', 'mind', 'of', 'and', '11.03', ""we'"", 'will', 'administer', ""the'"", 'vaccine', 'when', ""we'"", 'crush', 'you', 'legally', 'and', 'peacefully', 'black', 'life', 'matter', 'vote', 'blue', ""to'"", 'save', 'america2020']",disgust,4.0,2.024,afraid,19.0,2.9764428472706004,joy,8.0
1270899709536804866,I am sickened. Just saw a video of trump supporters taunting protesters at a BLM outside rally by lying down on their stomachs in a position george floyd died in. Now u see why I am serious when I say I am outta here if trump cheats back in. He and his arrogant magas r sick,2020-06-11 02:04:37,26,94,"['i', 'am', 'sickened', 'just', 'saw', 'a', 'video', 'of', 'trump', 'supporters', 'taunting', 'protesters', 'at', 'a', 'blm', 'outside', 'rally', 'by', 'lying', 'down', 'on', 'their', 'stomachs', 'in', 'a', 'position', 'george', 'floyd', 'died', 'in', 'now', 'u', 'see', 'why', 'i', 'am', 'serious', 'when', 'i', 'say', 'i', 'am', 'out', 'ta', 'here', 'if', 'trump', 'cheats', 'back', 'in', 'he', 'and', 'his', 'arrogant', 'magas', 'r', 'sick']","[""'i"", 'be', 'sicken', 'just', 'see', ""a'"", 'video', 'of', 'trump', 'supporter', 'taunting', 'protester', 'at', ""a'"", 'blm', 'outside', 'rally', 'by', 'lie', 'dow', 'and', 'of', 'and', 'they', 'stomach', 'in', ""a'"", 'position', 'george', 'floyd', 'die', 'in', 'now', ""u'"", 'see', 'why', ""i'"", 'be', 'serious', 'when', ""i'"", 'say', 'i', 'be', 'out', ""ta'"", 'here', 'if', 'trump', 'cheat', 'back', 'in', 'he', 'and', 'he', 'arrogant', 'maga', 'be', 'sick']",disgust,7.0,3.577,angry,32.0,4.583426882342488,joy,10.0
1266723817960996867,Two docs who I highly admire believe that the autopsy of George Floyd was a misleading sham. ,2020-05-30 13:31:07,20,35,"['two', 'docs', 'who', 'i', 'highly', 'admire', 'believe', 'that', 'the', 'autopsy', 'of', 'george', 'floyd', 'was', 'a', 'misleading', 'sham']","['two', 'doc', ""'s"", ""who'"", ""i'"", 'highly', 'admire', 'believe', 'that', ""the'"", 'autopsy', 'of', 'george', 'floyd', 'be', 'a', 'misleading', 'sham']",disgust,3.0,1.5490000000000002,annoyed,11.0,1.7447972378717802,joy,3.0
1269776120104222722,This ignorant racist called this guy a fat f*uck and the N word and got her ass handed to her. @reynoldsbija you are part of the problem and you are also a piece of shit. #BlackLivesMatter #EndRacismNow,2020-06-07 23:39:52,17,65,"['this', 'ignorant', 'racist', 'called', 'this', 'guy', 'a', 'fat', 'f*uck', 'and', 'the', 'n', 'word', 'and', 'got', 'her', 'ass', 'handed', 'to', 'her', 'you', 'are', 'part', 'of', 'the', 'problem', 'and', 'you', 'are', 'also', 'a', 'piece', 'of', 'shit', 'black', 'lives', 'matter', 'end', 'racism', 'now']","['this', 'ignorant', 'racist', 'call', 'this', 'guy', 'a', 'fat', 'for', 'uck', 'and', ""the'"", 'and', 'word', 'and', 'get', 'she', 'ass', 'hand', ""to'"", 'she', 'you', 'be', 'part', 'of', ""the'"", 'problem', 'and', 'you', 'be', 'also', 'a', 'piece', 'of', 'shit', 'black', 'life', 'matter', 'end', 'racism', 'now']",disgust,3.0,1.8430000000000002,inspired,24.0,4.269560431461767,joy,10.0
