ori_sentiment,tweet_text,final_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,afraid,afraid_score,amused,amused_score,angry,angry_score,annoyed,annoyed_score,dontcare,dontcare_score,happy,happy_score,inspired,inspired_score,sad,sad_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score
happy,Dorian Gray with Rainbow Scarf #LoveWins from,"['dorian', 'gray', 'with', 'rainbow', 'scarf', 'lovewins', 'from']",joy,1.0,0.531,4.0,0.24997114010829308,4.0,0.8242451458232778,4.0,0.26253536994259746,4.0,0.39467913840646174,4.0,0.7377276835227589,4.0,0.41104297740864926,4.0,0.6843036943358468,4.0,0.4354948504521151,amused,4.0,0.8242451458232778
happy,... Replace with your wish which the artist uses in next installation! It was entralling!,"['replace', 'with', 'your', 'you', 'wish', 'which', 'the', 'artist', 'uses', 'use', 'in', 'next', 'installation', 'it', 'was', 'be', 'entralling', 'entrall']",,0.0,0.0,7.0,0.5953208919910716,7.0,1.1157749362259985,7.0,0.7095425141949829,7.0,0.9689103435940734,7.0,0.9596545845731528,7.0,0.8437967443481984,7.0,1.2270873000096165,7.0,0.5799126850629053,inspired,7.0,1.2270873000096165
happy,thank you for following me back. Great to hear from a diverse &amp; interesting panel #DefeatingDepression,"['thank', 'you', 'for', 'following', 'follow', 'me', 'i', 'back', 'great', 'to', 'hear', 'from', 'a', 'diverse', '&amp', 'interesting', 'panel', 'defeatingdepression']",trust,1.0,0.47700000000000004,9.0,0.6714354163074937,9.0,1.359162395683923,9.0,0.9213726698018359,9.0,1.1715148662487755,9.0,1.2672763614357831,9.0,1.021200839883627,9.0,1.8038042703987314,9.0,0.7842331802398304,inspired,9.0,1.8038042703987314
happy,What a beautiful jewel / portrait. Is the 'R' for Rex ?,"['what', 'a', 'beautiful', 'jewel', 'portrait', 'is', 'be', 'the', 'r', 'for', 'rex']",joy,1.0,0.7809999999999999,4.0,0.20440131179127333,4.0,0.8102720787409743,4.0,0.32643306594229826,4.0,0.40923741224202786,4.0,0.7044552969547744,4.0,0.3939455579903935,4.0,0.8213207210135915,4.0,0.3299345553246668,inspired,4.0,0.8213207210135915
happy,I have always loved this painting.,"['i', 'have', 'always', 'loved', 'love', 'this', 'painting']",joy,2.0,1.687,4.0,0.1505600250903876,4.0,0.6299740357399277,4.0,0.29555575893044034,4.0,0.4565297109547107,4.0,0.5975220583157916,4.0,0.40960651892370786,4.0,1.0823067176894323,4.0,0.3779451743556021,inspired,4.0,1.0823067176894323
nocode,"say wot, mate?","['say', 'wot', 'mate']",trust,2.0,0.82,2.0,0.1480181293879953,2.0,0.32502219379651687,3.0,0.6429197648411488,2.0,0.3316750590417049,2.0,0.28326272554568377,2.0,0.16716324424735107,2.0,0.2839114511029889,3.0,0.8180274320366105,sad,3.0,0.8180274320366105
nocode,Two workshops on evaluating audience engagement + early July,"['two', 'workshops', 'workshop', 'on', 'evaluating', 'evaluate', 'audience', 'engagement', 'early', 'july']",anticipation,1.0,0.35700000000000004,9.0,0.8153464112696627,9.0,1.132236789644521,9.0,1.0057536754749745,9.0,1.1249162869468559,9.0,1.1661549563134006,9.0,1.0645125115430156,9.0,1.9459229609942104,9.0,0.7451564078133601,inspired,9.0,1.9459229609942104
nocode,"A Forest Road, by Thomas Gainsborough 1750 Oil on Canvas","['a', 'forest', 'road', 'by', 'thomas', 'gainsborough', '1750', 'oil', 'on', 'canvas']",,0.0,0.0,5.0,0.5259764966821828,5.0,0.5671406979085825,5.0,0.7240633067352245,5.0,0.5291365914805527,5.0,0.4992426769236589,5.0,0.5765149191045216,5.0,0.9367661272767702,5.0,0.6411591838885068,inspired,5.0,0.9367661272767702
happy,Lucky Good luck &amp; see you soon :,"['lucky', 'good', 'luck', 'see', 'you', 'soon']",joy,3.0,1.7520000000000002,5.0,0.30269908934615625,5.0,0.8010901275086808,5.0,0.41984833464573923,5.0,0.6413796536014551,5.0,0.7748508050201564,5.0,0.5869827106507676,5.0,1.0296000678585773,5.0,0.4435492113684674,inspired,5.0,1.0296000678585773
nocode,"The two works in our free #DuccioCaro exhibition play with space, movement, and architect... via","['the', 'two', 'works', 'work', 'in', 'our', 'we', 'free', 'ducciocaro', 'exhibition', 'play', 'with', 'space', 'movement', 'and', 'architect', 'via']",joy,1.0,0.544,10.0,0.8221685206220131,10.0,1.5546319712650905,10.0,1.1288708755359522,10.0,1.2355706924525116,10.0,1.2518621668522683,10.0,1.2190917073420109,10.0,1.8663384899389668,10.0,0.9214655759911866,inspired,10.0,1.8663384899389668
