ori_sentiment,tweet_text,sentiment,final_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,afraid,afraid_score,amused,amused_score,angry,angry_score,annoyed,annoyed_score,dontcare,dontcare_score,happy,happy_score,inspired,inspired_score,sad,sad_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score
anger,shut up hashtags are cool #offended,anger,"['shut', 'up', 'hashtags', 'hashtag', 'are', 'be', 'cool', '#offended', 'boffend']",,0.0,0.0,4.0,0.40870257151634054,4.0,0.9183573269328886,4.0,0.35582478500088754,4.0,0.5142024364050948,4.0,0.4964566889991342,4.0,0.36411742293717475,4.0,0.6062812742429706,4.0,0.33605749396550855,amused,4.0,0.9183573269328886
anger,it makes me so fucking irate jesus. nobody is calling people who like hajime abusive stop with the strawmen lmao,anger,"['it', 'makes', 'make', 'me', 'i', 'so', 'fucking', 'fuck', 'irate', 'jesus', 'nobody', 'is', 'be', 'calling', 'call', 'people', 'who', 'like', 'hajime', 'abusive', 'stop', 'with', 'the', 'strawmen', 'lmao']",anger,1.0,0.8440000000000001,13.0,1.1336801287139167,15.0,2.991391380863916,15.0,1.9358017347345557,15.0,2.2359445267007123,14.0,1.7222117959158671,15.0,1.2626347454329283,14.0,2.6731727526818454,13.0,1.0451629349562586,amused,15.0,2.991391380863916
anger,Lol Adam the Bull with his fake outrage...,anger,"['lol', 'adam', 'the', 'bull', 'with', 'his', 'he', 'fake', 'outrage']",anger,1.0,0.848,5.0,0.2869419229466792,5.0,1.094905971096721,5.0,0.7720524306123622,5.0,0.7368739236610066,5.0,0.6776808104803422,5.0,0.5653981772167932,5.0,0.45976983934773125,5.0,0.40637692463836445,amused,5.0,1.094905971096721
anger,passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. that is rough stuff,anger,"['passed', 'pass', 'away', 'early', 'this', 'morning', 'in', 'a', 'fast', 'and', 'furious', 'styled', 'style', 'car', 'crash', 'as', 'he', 'was', 'be', 'leaving', 'leave', 'an', 'a', 'atl', 'strip', 'club', 'that', 'is', 'be', 'rough', 'stuff']",sadness,4.0,1.2730000000000001,18.0,2.417839666046917,17.0,2.3081589442003256,17.0,2.054685520196684,17.0,2.2127791748152843,17.0,2.1166282619548227,18.0,1.7277796132867793,18.0,2.7173948419735994,17.0,2.4447339775255874,inspired,18.0,2.7173948419735994
anger,lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,anger,"['lol', 'wow', 'i', 'was', 'be', 'gon', 'go', 'na', 'to', 'say', 'really', 'haha', 'have', 'you', 'seen', 'see', 'chris', 'or', 'nah', 'you', 'do', 'nt', 'not', 'even', 'snap', 'me', 'i', 'anymore', 'dude']",,0.0,0.0,17.0,1.2621739651889192,17.0,3.0954451655314164,16.0,1.9354599310212617,17.0,2.783523035092914,16.0,2.32204773378847,17.0,1.651238561781005,17.0,2.6992027329996806,17.0,1.250908874596333,amused,17.0,3.0954451655314164
anger,I need a 🍱sushi date🍙 🍝an olive guarded date🧀 and a 👊🏼Rockys date🍕,anger,"['i', 'need', 'a', '🍱sushi', 'date🍙', '🍝an', 'olive', 'guarded', 'guard', 'date🧀', 'and', 'a', '👊🏼rockys', 'pprocky', 'date']",trust,2.0,1.1019999999999999,5.0,0.5243490400012301,5.0,0.7924024231190713,5.0,0.6657655322738258,5.0,0.6998971287869933,5.0,0.617755602070681,5.0,0.5201609191063424,5.0,0.6807397246595374,5.0,0.49892962998231866,amused,5.0,0.7924024231190713
anger,"And Republicans, you, namely Graham, Flake, Sasse and others are not safe from my wrath, hence that Hillary Hiney-Kissing ad I saw about you",anger,"['and', 'republicans', 'you', 'namely', 'graham', 'flake', 'sasse', 'and', 'others', 'other', 'are', 'be', 'not', 'safe', 'from', 'my', 'wrath', 'hence', 'that', 'hillary', 'hiney', 'kissing', 'ad', 'i', 'saw', 'see', 'about', 'you']",anger,1.0,0.885,13.0,1.3775740234127902,13.0,2.2125534801251545,13.0,1.5170316731442153,13.0,2.0036059362564105,13.0,1.647054956493774,13.0,1.2720414769624424,13.0,1.7615000568288046,13.0,1.2086383967764083,amused,13.0,2.2125534801251545
anger,\n\nLike a rabid dog I pulled out the backs of my cupboards looking for a bakewell..Found a french fancie &amp; a mini batternburg #Winner!,anger,"['like', 'a', 'rabid', 'dog', 'i', 'pulled', 'pull', 'out', 'the', 'backs', 'back', 'of', 'my', 'cupboards', 'cupboard', 'looking', 'look', 'for', 'a', 'bakewell', 'found', 'find', 'a', 'french', 'fancie', 'a', 'mini', 'batternburg', 'winner']",anticipation,2.0,1.04,15.0,1.1242829885560623,16.0,2.8288551900262977,15.0,1.5695530790988452,15.0,1.9848000889870814,16.0,1.9598596019975876,16.0,2.138658245024708,16.0,2.9049091357605135,16.0,1.4890816705489047,inspired,16.0,2.9049091357605135
anger,it is very telling that racist bigots always resort to the insult 'fag' like that is worse than being a racist bigot.,anger,"['it', 'is', 'be', 'very', 'telling', 'tell', 'that', 'racist', 'bigots', 'bigot', 'always', 'resort', 'to', 'the', 'insult', 'fag', 'like', 'that', 'is', 'be', 'worse', 'than', 'being', 'be', 'a', 'racist', 'bigot']",disgust,2.0,1.252,10.0,0.7121042366850865,11.0,1.967571237133421,11.0,1.672018741303001,11.0,2.029808728229181,11.0,1.2817704484783574,11.0,0.6720335823242571,11.0,1.7220021868506512,11.0,0.942690838996045,annoyed,11.0,2.029808728229181
anger,Follow up. Follow through. Be #relentless. #success,anger,"['follow', 'up', 'follow', 'through', 'be', '#relentless']",trust,1.0,0.47700000000000004,1.0,0.07207803287401586,1.0,0.13993567861905487,1.0,0.1066468502760866,1.0,0.1329619004791828,1.0,0.14129445360959858,1.0,0.13485540340303545,1.0,0.20877597810036508,1.0,0.06345170263866089,,0.0,0.0
anger,dude the new madden 17? Haha,anger,"['dude', 'the', 'new', 'madden', '17', 'haha']",anger,1.0,0.7190000000000001,4.0,0.19629422170569613,4.0,0.8509888630881224,4.0,0.2154805630744489,4.0,0.5168542498886223,4.0,0.92531106084324,4.0,0.4553249188404762,4.0,0.6074389979321946,4.0,0.23230712462719982,dontcare,4.0,0.92531106084324
anger,if he can not come to my Mum'a 60th after 25k tweets then why should I 🙈 #bitter #soreloser,anger,"['if', 'he', 'can', 'not', 'come', 'to', 'my', 'mum', ""'a"", ""'s"", '60th', 'after', '25', 'k', 'tweets', 'tweet', 'then', 'why', 'should', 'i', '🙈', 'be', '#bitter', 'soreloser']",,0.0,0.0,4.0,0.35670378985182044,4.0,0.6817237481498585,4.0,0.3644231788927837,4.0,0.6064752510461411,4.0,0.7095798465052707,4.0,0.3790321485237896,4.0,0.5684729535287623,4.0,0.3335890835015736,dontcare,4.0,0.7095798465052707
anger,Lol little things like that make me so angry x,anger,"['lol', 'little', 'things', 'thing', 'like', 'that', 'make', 'me', 'i', 'so', 'angry']",anger,1.0,0.8240000000000001,7.0,0.45823980008191134,7.0,1.8155441374789478,7.0,0.6561792729929883,7.0,0.9360556291421017,7.0,0.8571973372790325,7.0,0.6002648972649718,7.0,1.159480542891115,7.0,0.5170383828689322,amused,7.0,1.8155441374789478
anger,One more day tiff.. One more day!,anger,"['one', 'more', 'day', 'tiff', 'one', 'more', 'day']",anger,1.0,0.41200000000000003,3.0,0.20176561251182418,3.0,0.47547540570874947,3.0,0.4175050899870897,3.0,0.44191531750684065,3.0,0.3353729885084104,3.0,0.3653096340431959,3.0,0.4491350737985622,3.0,0.3135208779353275,amused,3.0,0.47547540570874947
anger,"Me being on my dean really saving a lot of ppl, bc I do not snap nomore &amp; it take so much out of me..",anger,"['me', 'i', 'being', 'be', 'on', 'my', 'dean', 'really', 'saving', 'save', 'a', 'lot', 'of', 'ppl', 'bc', 'i', 'do', 'not', 'snap', 'nomore', 'it', 'take', 'so', 'much', 'out', 'of', 'me', 'i']",trust,1.0,0.562,10.0,0.7904970302236837,10.0,1.6331232330311793,10.0,0.946615108816857,10.0,1.2574264975753353,10.0,1.477019895529057,10.0,0.9621817445751921,10.0,2.0473286740824,10.0,0.8858078161662956,inspired,10.0,2.0473286740824
anger,Who knew softballs could sting so bad? Jimmy Fallon has been under a lot of heat for his &amp;ldquo;softball&amp;rdquo; Donald Trump interview,anger,"['who', 'knew', 'know', 'softballs', 'softball', 'could', 'sting', 'stenk', 'so', 'bad', 'jimmy', 'fallon', 'has', 'have', 'been', 'be', 'under', 'a', 'lot', 'of', 'heat', 'for', 'his', 'he', '&amp', 'ldquo', 'softball&amp', 'rdquo', 'donald', 'trump', 'interview']",fear,3.0,1.071,13.0,0.9651083185628015,13.0,2.2251940041436122,13.0,1.3094308910582715,13.0,1.8819511021797997,13.0,1.6648364629374128,13.0,1.5221961266809587,13.0,2.36116970262625,13.0,1.0701133918108934,inspired,13.0,2.36116970262625
anger,Women do not like girls because we resent them for looking so great/we wish we still looked like that #washed,anger,"['women', 'woman', 'do', 'not', 'like', 'girls', 'girl', 'because', 'we', 'resent', 'them', 'they', 'for', 'looking', 'look', 'so', 'great', 'we', 'wish', 'we', 'still', 'looked', 'look', 'like', 'that', '#washed', 'ewash']",anger,1.0,0.765,12.0,0.884919121494687,12.0,2.1563391069116387,12.0,1.291285851468116,12.0,1.5128327161013748,12.0,1.6165490103396758,12.0,1.1032411660239998,12.0,2.2932487422253227,12.0,1.1415842854351848,inspired,12.0,2.2932487422253227
